3745487362.98273	1.000	0.0000000001	8616975441.61999	
3745487362.98871	1.000	0.0000000001	8699434536.75511	
3745487362.99471	1.000	0.0000000001	8904719501.33571	
3745487363.00069	1.000	0.0000000001	8888888888.88889	
3745487363.00650	1.000	0.0000000001	9119927040.58368	
3745487363.01266	1.000	0.0000000001	9182736455.46373	
3745487363.01864	1.000	0.0000000001	8904719501.33571	
3745487363.02347	1.000	0.0000000001	8752735229.75930	
3745487363.02961	1.000	0.0000000001	8992805755.39568	
3745487363.03460	1.000	0.0000000001	9199632014.71941	
3745487363.04041	1.000	0.0000000001	9115770282.58888	
3745487363.04655	1.000	0.0000000001	9033423667.57001	
3745487363.05338	1.000	0.0000000001	8896797153.02491	
3745487363.05838	1.000	0.0000000001	8928571428.57143	
3745487363.06451	1.000	0.0000000001	9140767824.49726	
3745487363.07048	1.000	0.0000000001	9324009324.00932	
3745487363.07731	1.000	0.0000000001	9350163627.86349	
3745487363.08245	1.000	0.0000000001	9157509157.50916	
3745487363.08928	1.000	0.0000000001	9119927040.58368	
3745487363.09527	1.000	0.0000000001	9170105456.21275	
3745487363.10126	1.000	0.0000000001	9276437847.86642	
3745487363.10639	1.000	0.0000000001	9337068160.59757	
3745487363.11223	1.000	0.0000000001	9272137227.63097	
3745487363.11920	1.000	0.0000000001	9267840593.14180	
3745487363.12419	1.000	0.0000000001	9385265133.74003	
3745487363.13117	1.000	0.0000000001	9411764705.88235	
3745487363.13715	1.000	0.0000000001	9289363678.58802	
3745487363.14314	1.000	0.0000000001	9416195856.87382	
3745487363.14912	1.000	0.0000000001	9438414346.38981	
3745487363.15510	1.000	0.0000000001	9523809523.80952	
3745487363.16109	1.000	0.0000000001	9496676163.34283	
3745487363.16608	1.000	0.0000000001	9438414346.38981	
3745487363.17206	1.000	0.0000000001	9601536245.79933	
3745487363.17904	1.000	0.0000000001	9704027171.27608	
3745487363.18515	1.000	0.0000000001	9624639076.03465	
3745487363.19314	1.000	0.0000000001	9620009620.00962	
3745487363.20114	1.000	0.0000000001	9596928982.72553	
3745487363.20896	1.000	0.0000000001	9657170449.05843	
3745487363.21613	1.000	0.0000000001	9794319294.80901	
3745487363.22392	1.000	0.0000000001	9727626459.14397	
3745487363.23013	1.000	0.0000000001	9832841691.24877	
3745487363.23712	1.000	0.0000000001	9965122072.74539	
3745487363.24418	1.000	0.0000000001	10015022533.80070	
3745487363.25113	1.000	0.0000000001	9980039920.15968	
3745487363.25785	1.000	0.0000000001	10005002501.25063	
3745487363.26398	1.000	0.0000000001	9940357852.88270	
3745487363.27009	1.000	0.0000000001	9857072449.48250	
3745487363.27712	1.000	0.0000000001	9876543209.87654	
3745487363.28411	1.000	0.0000000001	9910802775.02478	
3745487363.29203	1.000	0.0000000001	10147133434.80467	
3745487363.29906	1.000	0.0000000001	10070493454.17925	
3745487363.30688	1.000	0.0000000001	9779951100.24450	
3745487363.31503	1.000	0.0000000001	9930486593.84310	
3745487363.32083	1.000	0.0000000001	10172939979.65412	
3745487363.32991	1.000	0.0000000001	10075566750.62972	
3745487363.34066	1.000	0.0000000001	9985022466.30055	
3745487363.34692	1.000	0.0000000001	10147133434.80467	
3745487363.37082	1.000	0.0000000001	10256410256.41026	
3745487363.37768	1.000	0.0000000001	10411244143.67517	
3745487363.40178	1.000	0.0000000001	10277492291.88078	
3745487363.41741	1.000	0.0000000001	10509721492.38045	
3745487363.44034	1.000	0.0000000001	10914051841.74625	
3745487363.58105	1.000	0.0000000001	11024142872.89163	
3745487363.59094	1.000	0.0000000001	11038745998.45458	
3745487363.59892	1.000	0.0000000001	11038745998.45458	
3745487363.60711	1.000	0.0000000001	11063170704.72397	
3745487363.61488	1.000	0.0000000001	11113580795.73239	
3745487363.62187	1.000	0.0000000001	11140199409.56943	
3745487363.62916	1.000	0.0000000001	11109876680.36885	
3745487363.63698	1.000	0.0000000001	11147029316.68710	
3745487363.64414	1.000	0.0000000001	11250492209.03415	
3745487363.65192	1.000	0.0000000001	11278407488.86257	
3745487363.65890	1.000	0.0000000001	11253657438.66757	
3745487363.66589	1.000	0.0000000001	11300073450.47743	
3745487363.67286	1.000	0.0000000001	11336583153.83743	
3745487363.68001	1.000	0.0000000001	11360408974.72309	
3745487363.68682	1.000	0.0000000001	11352670715.78589	
3745487363.69380	1.000	0.0000000001	11334655709.83281	
3745487363.70079	1.000	0.0000000001	11362990739.16255	
3745487363.70763	1.000	0.0000000001	11439684264.71429	
3745487363.71476	1.000	0.0000000001	11442302191.20087	
3745487363.72172	1.000	0.0000000001	11420087934.67710	
3745487363.72872	1.000	0.0000000001	11479079377.83390	
3745487363.73570	1.000	0.0000000001	11526713157.74307	
3745487363.74254	1.000	0.0000000001	11581446522.67068	
3745487363.74966	1.000	0.0000000001	11581446522.67068	
3745487363.75665	1.000	0.0000000001	11587485515.64310	
3745487363.76363	1.000	0.0000000001	11670654140.16456	
3745487363.77046	1.000	0.0000000001	11663847903.42334	
3745487363.77758	1.000	0.0000000001	11660447761.19403	
3745487363.78542	1.000	0.0000000001	11700696191.42339	
3745487363.79142	1.000	0.0000000001	11715089034.67666	
3745487363.79853	1.000	0.0000000001	11718521122.63433	
3745487363.80637	1.000	0.0000000001	11695906432.74854	
3745487363.81334	1.000	0.0000000001	11629259216.18793	
3745487363.81948	1.000	0.0000000001	11598237067.96567	
3745487363.82731	1.000	0.0000000001	11652295502.21394	
3745487363.83429	1.000	0.0000000001	11661807580.17493	
3745487363.84031	1.000	0.0000000001	11732269607.55558	
3745487363.84825	1.000	0.0000000001	11844832691.73823	
3745487363.85524	1.000	0.0000000001	11890606420.92747	
3745487363.86122	1.000	0.0000000001	11918240867.64794	
3745487363.86820	1.000	0.0000000001	11985377839.03638	
3745487363.87520	1.000	0.0000000001	12004081387.67181	
3745487363.88216	1.000	0.0000000001	12043839576.05685	
3745487363.88914	1.000	0.0000000001	12079482998.12768	
3745487363.89618	1.000	0.0000000001	12113136696.74762	
3745487363.90311	1.000	0.0000000001	12185462742.94766	
3745487363.91009	1.000	0.0000000001	12228676245.79639	
3745487363.91707	1.000	0.0000000001	12226433549.33366	
3745487363.92405	1.000	0.0000000001	12245147860.16041	
3745487363.93104	1.000	0.0000000001	12310722639.41893	
3745487363.93801	1.000	0.0000000001	12370113805.04701	
3745487363.94499	1.000	0.0000000001	12366289494.83707	
3745487363.95099	1.000	0.0000000001	12338062924.12091	
3745487363.95701	1.000	0.0000000001	12328176046.35394	
3745487363.96398	1.000	0.0000000001	12397718819.73717	
3745487363.97098	1.000	0.0000000001	12417732522.04148	
3745487363.97798	1.000	0.0000000001	12383900928.79257	
3745487363.98498	1.000	0.0000000001	12420817289.77767	
3745487363.99187	1.000	0.0000000001	12526619065.51422	
3745487363.99885	1.000	0.0000000001	12536826929.10424	
3745487364.00613	1.000	0.0000000001	12541543864.04967	
3745487364.01417	1.000	0.0000000001	12592872434.20224	
3745487364.02105	1.000	0.0000000001	12613521695.25732	
3745487364.02910	1.000	0.0000000001	12691965985.53116	
3745487364.03603	1.000	0.0000000001	12664640324.21479	
3745487364.04273	1.000	0.0000000001	12638230647.70932	
